"","species","latitude","longitude","date_obs","source","carbon_values","nitrogen_values","ph_values","Landcover","Climate_Re","elevation","temp_mean","prec_mean","clouds_mean","fut_temp","ndvi_mean"
"958","Pinus sylvestris",45.8938773,7.1875437,2021-06-15,"inat",638,727,57,"Forest","Cool Temperate Moist",2071,4.51666666666665,128.833333333333,40.5183333333333,2.50833333333333,0.291191666666667
"959","Pinus sylvestris",46.3933633333,6.1411083333,2021-05-23,"inat",640,763,63,"Forest","Cool Temperate Moist",598,13.3833333333334,129.5,37.1775,11.7166666666668,0.6059375
"960","Amanita muscaria",47.194113,6.998074,2022-10-02,"gbif",715,810,56,"Forest","Cool Temperate Moist",1042,10.4416666666667,133.333333333333,45.17,8.51666666666665,0.636779166666667
"961","Amanita muscaria",47.401694,8.701031,2022-10-16,"gbif",568,972,54,"Forest","Cool Temperate Moist",550,13.2166666666667,108.166666666667,40.3441666666667,11.4333333333334,0.694691666666667
"962","Abies alba",47.2140348,8.2804301997,2023-06-07,"inat",707,677,61,"Forest","Cool Temperate Moist",603,13.0916666666667,117.166666666667,42.3391666666667,11.6583333333334,0.67675
"963","Amanita muscaria",46.289078,7.098397,2022-10-09,"gbif",644,769,56,"Forest","Cool Temperate Moist",1564,8.35833333333329,152.666666666667,36.1166666666667,5.52499999999998,0.413604166666667
"964","Pinus mugo",46.67145,10.1508,2025-07-15,"gbif",522,759,61,"Forest","Cool Temperate Moist",1774,6.60833333333335,83.8333333333333,34.4458333333333,4.4666666666667,0.335566666666667
"965","Amanita muscaria",46.647403,7.606697,2022-10-23,"gbif",644,934,55,"Forest","Cool Temperate Moist",1335,8.80000000000001,131.333333333333,40.7925,6.41666666666663,0.448008333333333
"966","Amanita muscaria",46.94532,8.045503,2022-10-22,"gbif",738,908,54,"Forest","Cool Temperate Moist",1146,9.63333333333338,150.416666666667,43.9083333333333,7.85000000000008,0.528308333333333
"967","Pinus sylvestris",46.9281284044,7.468837476,2021-04-03,"inat",574,701,52,"Forest","Cool Temperate Moist",523,13.5583333333334,89.0833333333333,38.22,11.5666666666667,0.622779166666667
"968","Amanita muscaria",47.01843,7.27422,2023-10-27,"gbif",585,671,61,"Forest","Cool Temperate Moist",519,13.6833333333333,98,41.4433333333333,11.8833333333333,0.627829166666667
"969","Amanita muscaria",46.940739,6.588344,2022-11-12,"gbif",742,847,59,"Forest","Cool Temperate Moist",1147,9.97500000000002,130.833333333333,44.4641666666667,8.29166666666669,0.6078375
"970","Amanita muscaria",47.28782,7.80215,2022-11-10,"gbif",653,790,54,"Forest","Cool Temperate Moist",489,13.6333333333333,90.4166666666667,38.3766666666667,11.7833333333334,0.647354166666667
"971","Pinus mugo",46.61998,10.4095,2025-07-25,"gbif",557,674,61,"Forest","Cool Temperate Moist",2030,4.79166666666674,66.6666666666667,32.8683333333333,2.88333333333333,0.393095833333333
"972","Pinus mugo",46.50285,9.62101,2025-07-10,"gbif",578,842,52,"Forest","Cool Temperate Moist",1999,4.72500000000008,110.666666666667,40.8866666666667,2.80000000000007,0.286416666666667
"974","Amanita muscaria",47.080973,8.559499,2022-11-06,"gbif",715,853,52,"Forest","Cool Temperate Moist",1446,8.12500000000006,173.416666666667,45.535,6.55833333333345,0.476958333333333
"975","Amanita muscaria",47.097385,8.747336,2021-03-20,"gbif",722,823,56,"Forest","Cool Temperate Moist",1314,8.63333333333338,166.75,43.5425,6.76666666666671,0.554645833333333
"976","Amanita muscaria",46.697392,7.851997,2021-07-19,"gbif",654,867,52,"Forest","Cool Temperate Moist",1233,10.1666666666667,129.166666666667,34.49,8.0916666666667,0.692866666666667
"977","Amanita muscaria",46.262399,7.344952,2021-07-24,"gbif",462,618,59,"Forest","Cool Temperate Moist",1185,10.3083333333333,106.416666666667,37.32,7.48333333333335,0.5898
"978","Picea abies",46.3799552917,8.0449914932,2025-04-03,"inat",581,744,59,"Forest","Cool Temperate Moist",1856,5.625,123.25,40.44,3.75,0.380466666666667
"979","Amanita muscaria",47.081095,8.566983,2021-07-31,"gbif",710,869,53,"Forest","Cool Temperate Moist",1464,8.0916666666667,178.666666666667,45.535,6.50833333333344,0.46585
"980","Picea abies",46.95116,9.70493,2025-03-11,"gbif",592,929,60,"Forest","Cool Temperate Moist",728,12.675,107.416666666667,35.0675,10.05,0.521279166666667
"981","Amanita muscaria",46.278725,7.811617,2021-08-03,"gbif",508,667,63,"Forest","Cool Temperate Moist",1327,8.92500000000001,99.8333333333333,37.585,6.79166666666669,0.496654166666667
"982","Pinus mugo",46.75977,10.22074,2025-08-05,"gbif",547,727,55,"Forest","Cool Temperate Moist",1823,6.8583333333334,79,34.1691666666667,4.51666666666671,0.362208333333333
"983","Betula pendula",46.15693,8.7008,2025-05-25,"gbif",623,761,52,"Forest","Cool Temperate Moist",852,11.4750000000001,113.833333333333,32.8358333333333,9.47499999999997,0.603033333333333
"984","Amanita muscaria",46.762333,9.892683,2021-08-21,"gbif",551,964,42,"Forest","Cool Temperate Moist",1809,5.47500000000008,124.416666666667,41.0983333333333,2.94999999999999,0.296529166666667
"985","Amanita muscaria",46.20781,7.857358,2021-08-02,"gbif",514,790,58,"Forest","Cool Temperate Moist",1700,5.99166666666673,106.666666666667,35.6783333333333,3.96666666666664,0.589608333333333
"986","Amanita muscaria",46.149036,7.326338,2021-08-23,"gbif",634,772,58,"Forest","Cool Temperate Moist",1810,4.85833333333335,135.333333333333,38.6691666666667,2.35833333333341,0.436966666666667
"987","Amanita muscaria",46.22018,7.610573,2021-08-16,"gbif",549,593,63,"Forest","Cool Temperate Moist",1825,5.60000000000008,127.833333333333,38.62,3.19999999999999,0.443320833333333
"989","Amanita muscaria",46.535779,9.641447,2021-08-13,"gbif",569,818,48,"Forest","Cool Temperate Moist",1957,5.14166666666671,100.166666666667,37.2583333333333,3.15833333333342,0.328170833333333
"990","Amanita muscaria",46.83658,8.12682,2023-10-27,"gbif",711,769,55,"Forest","Cool Temperate Moist",1175,9.93333333333334,139.5,38.0875,8.22500000000002,0.5896625
"991","Amanita muscaria",46.091463,7.209224,2024-10-02,"gbif",537,651,62,"Forest","Cool Temperate Moist",1132,11.3416666666667,101.833333333333,34.7775,9.00833333333333,0.598229166666667
"992","Pinus mugo",46.81629,9.69925,2025-08-23,"gbif",669,922,47,"Forest","Cool Temperate Moist",1432,7.05000000000007,118.916666666667,38.2033333333333,4.43333333333334,0.471245833333333
"993","Amanita muscaria",46.822015,9.215689,2021-08-30,"gbif",686,1031,50,"Forest","Cool Temperate Moist",1788,6.19166666666672,147.583333333333,40.7866666666667,3.80000000000007,0.344966666666667
"994","Amanita muscaria",46.821761,9.214085,2021-08-30,"gbif",686,1031,50,"Forest","Cool Temperate Moist",1783,6.19166666666672,147.583333333333,40.7866666666667,3.80000000000007,0.344966666666667
"995","Amanita muscaria",46.508101,9.872186,2021-08-17,"gbif",543,726,58,"Forest","Cool Temperate Moist",1759,5.77500000000003,86.3333333333333,36.2025,3.95833333333331,0.4027
"996","Amanita muscaria",46.152928,6.824017,2021-08-19,"gbif",715,833,57,"Forest","Cool Temperate Moist",1675,7.35000000000008,174.916666666667,39.6033333333333,4.58333333333337,0.4451625
"997","Amanita muscaria",46.822293,9.216435,2021-08-30,"gbif",723,1068,49,"Forest","Cool Temperate Moist",1788,6.19166666666672,147.583333333333,40.7866666666667,3.80000000000007,0.3303625
"998","Amanita muscaria",46.950996,8.125841,2025-07-30,"gbif",696,850,55,"Forest","Cool Temperate Moist",1004,10.325,150.666666666667,43.0966666666667,8.71666666666664,0.457541666666667
"999","Picea abies",46.379955,8.044991,2025-04-03,"gbif",581,744,59,"Forest","Cool Temperate Moist",1856,5.625,123.25,40.44,3.75,0.380466666666667
"1000","Betula pendula",47.332,8.00091,2025-05-24,"gbif",671,579,52,"Forest","Cool Temperate Moist",482,13.4333333333333,105.25,39.7875,11.7166666666667,0.656045833333333
"1001","Picea abies",47.259608,8.579363,2025-04-21,"gbif",684,891,59,"Forest","Cool Temperate Moist",604,13.1,111.333333333333,37.8725,11.5166666666667,0.658441666666667
"1002","Pinus mugo",46.8959037835,8.1259098954,2025-09-28,"inat",700,934,50,"Forest","Cool Temperate Moist",1456,7.61666666666667,171.416666666667,43.4258333333333,5.94166666666672,0.380441666666667
"1004","Picea abies",46.47171,6.16915,2025-04-15,"gbif",781,957,59,"Forest","Cool Temperate Moist",1188,10.0333333333334,143.916666666667,40.825,8.61666666666662,0.559491666666667
